,birth_date,birth_place,death_date,education,gender,occupation,viaf,wkp
0,1526-01-01T00:00:00Z,Mino Province,1582-07-02T00:00:00Z,,male,military officer,32835761,Q313320
1,1653-01-01T00:00:00Z,Echizen Province,1725-01-06T00:00:00Z,,male,playwright,61595937,Q324986
2,,,,,,,,Q11173943
3,1828-01-23T00:00:00Z,Satsuma Province,1877-09-24T00:00:00Z,,male,bushi,33284849,Q310462
4,1859-05-22T00:00:00Z,?ta-juku,1935-02-28T00:00:00Z,Tokyo University,male,translator,32091830,Q706196
5,1222-02-23T00:00:00Z,Kamogawa,1282-10-20T00:00:00Z,,male,bhikkhu,75128722,Q311478
6,1567-01-01T00:00:00Z,,1615-01-01T00:00:00Z,,female,samurai,48083655,Q247408
7,1798-09-24T00:00:00Z,Nagasaki,1866-02-28T00:00:00Z,,male,,75198371,Q7677398
8,1183-01-01T00:00:00Z,,1242-07-21T00:00:00Z,,male,samurai,98498818,Q1188359
9,1605-01-01T00:00:00Z,,1653-09-01T00:00:00Z,,male,farmer,23492752,Q7403175
10,1642-01-01T00:00:00Z,?saka,1693-09-09T00:00:00Z,,male,poet,59088917,Q352561
11,,,,,,,,Q1050942
12,1552-01-01T00:00:00Z,Nara,1615-02-04T00:00:00Z,,male,samurai,67394377,Q749873
13,1684-11-27T00:00:00Z,,1751-07-12T00:00:00Z,,male,samurai,40189865,Q319664
14,1155-05-31T00:00:00Z,Kyoto,1225-11-11T00:00:00Z,,male,poet,46892904,Q715993
15,1507-12-28T00:00:00Z,Japan,1551-10-10T00:00:00Z,,male,samurai,53233683,Q1065163
16,1622-01-01T00:00:00Z,,1694-01-01T00:00:00Z,,male,entrepreneur,31872416,Q6883251
17,0700-01-01T00:00:00Z,,0772-01-01T00:00:00Z,,male,statesman,17077150,Q1272718
18,1521-12-01T00:00:00Z,Kai Province,1573-05-13T00:00:00Z,,male,samurai,8226337,Q276404
19,1871-11-05T00:00:00Z,Nakamura,1911-01-24T00:00:00Z,,male,journalist,64218988,Q558267
20,1506-04-17T00:00:00Z,Javier,1552-12-13T00:00:00Z,University of Paris,male,missionary,51717999,Q163900
21,1624-08-28T00:00:00Z,Hirado,1662-06-23T00:00:00Z,Nanjing University,male,military personnel,5727768,Q197615
22,1811-03-22T00:00:00Z,Matsushiro,1864-08-12T00:00:00Z,,male,physicist,25948303,Q739298
23,0668-01-01T00:00:00Z,Kawachi Province,0749-01-01T00:00:00Z,,male,cartographer,265934394,Q1136664
24,0758-01-01T00:00:00Z,,0811-06-21T00:00:00Z,,male,samurai,252089043,Q941979
25,1816-01-01T00:00:00Z,,1862-05-06T00:00:00Z,,male,samurai,29181642,Q4715741
26,0170-01-01T00:00:00Z,Kyoto,0269-01-01T00:00:00Z,,female,,253277312,Q232803
27,1567-09-15T00:00:00Z,Yonezawa,1636-06-27T00:00:00Z,,male,samurai,48091372,Q311183
28,1836-08-05T00:00:00Z,"Izushi, Hy?go",1916-02-09T00:00:00Z,,male,politician,79424444,Q1960314
29,1201-01-01T00:00:00Z,,1290-09-29T00:00:00Z,,male,,25860274,Q11410722
30,1217-08-19T00:00:00Z,,1303-08-25T00:00:00Z,,male,,50553939,Q3080889
31,1402-06-07T00:00:00Z,Kyoto,1481-04-30T00:00:00Z,,male,writer,64820039,Q1656375
32,1539-01-01T00:00:00Z,,1600-11-06T00:00:00Z,,male,samurai,232044393,Q1151711
33,1622-09-21T00:00:00Z,,1685-10-23T00:00:00Z,,male,philosopher,46848145,Q1095270
34,1770-01-01T00:00:00Z,,1807-10-20T00:00:00Z,,,,23702303,Q6532218
35,1843-02-12T00:00:00Z,Edo,1890-01-23T00:00:00Z,Phillips Academy,male,missionary,57965845,Q905142
36,1133-05-13T00:00:00Z,"Kume, Okayama",1212-03-14T00:00:00Z,,male,bhikkhu,64013860,Q507980
37,1767-07-04T00:00:00Z,Fukagawa,1848-12-01T00:00:00Z,,male,novelist,95239570,Q463142
38,1358-09-25T00:00:00Z,Kyoto,1408-05-31T00:00:00Z,,male,samurai,96626824,Q248381
39,1627-08-30T00:00:00Z,Kyoto,1705-04-05T00:00:00Z,,male,philosopher,42646225,Q640808
40,1862-12-26T00:00:00Z,Yokohama,1913-09-02T00:00:00Z,Ranshad?,male,art critic,99830297,Q942995
41,0645-01-01T00:00:00Z,,0703-01-17T00:00:00Z,,female,poet,30375641,Q232026
42,1780-12-21T00:00:00Z,,1850-04-07T00:00:00Z,,male,,67274218,Q11678013
43,1455-05-11T00:00:00Z,,1537-11-05T00:00:00Z,,male,calligrapher,25442213,Q11355856
44,1780-01-01T00:00:00Z,"Tsukuba District, Ibaraki",1844-04-13T00:00:00Z,,male,explorer,10240623,Q952891
45,1796-02-17T00:00:00Z,W?rzburg,1866-10-18T00:00:00Z,University of W?rzburg,male,carcinologist,17320528,Q77140
46,1803-02-18T00:00:00Z,Nagoya,1901-01-20T00:00:00Z,,male,botanist,53142894,Q705243
47,1886-02-12T00:00:00Z,Fukuoka,1943-10-27T00:00:00Z,Waseda University,male,journalist,98080019,Q1135245
48,1858-12-24T00:00:00Z,Sagami Province,1954-10-06T00:00:00Z,University of Tokyo,male,journalist,47001784,Q1152666
49,0072-01-01T00:00:00Z,Yamato Province,0113-01-01T00:00:00Z,,male,,2146030441635860811,Q461258
50,1872-05-02T00:00:00Z,Tokyo,1896-11-23T00:00:00Z,,female,novelist,95282437,Q237948
51,1621-01-01T00:00:00Z,,1638-04-12T00:00:00Z,,male,samurai,60525239,Q452628
52,,,,,,,,Q5986157
53,1835-01-09T00:00:00Z,Aki,1885-02-07T00:00:00Z,,male,entrepreneur,40808703,Q380105
54,1849-12-25T00:00:00Z,Edo,1912-09-13T00:00:00Z,,male,politician,7381205,Q468122
55,1537-12-15T00:00:00Z,,1597-10-09T00:00:00Z,,male,samurai,64807224,Q434415
56,1836-01-25T00:00:00Z,Kyoto,1924-12-31T00:00:00Z,,male,painter,96576499,Q1377454
57,1539-01-01T00:00:00Z,Japan,1599-07-11T00:00:00Z,,male,samurai,55603756,Q1070082
58,0944-01-01T00:00:00Z,,0998-08-19T00:00:00Z,,male,calligrapher,110757729,Q3085481
59,1156-01-01T00:00:00Z,,1225-08-13T00:00:00Z,,female,bhikkhuni,50623009,Q463961
60,1173-01-01T00:00:00Z,,1232-01-01T00:00:00Z,,male,bhikkhu,3272339,Q2026000
61,1815-03-13T00:00:00Z,Milton,1911-09-21T00:00:00Z,,male,teacher,6242432,Q368162
62,1886-02-20T00:00:00Z,Morioka,1912-04-13T00:00:00Z,Q11251366,male,journalist,51691113,Q467747
63,1539-01-01T00:00:00Z,,1615-10-16T00:00:00Z,,,,63921804,Q11476199
